SAMPLE_ID,Average initial ?Hf ,Group Age (Ma),Latitude GDA 1994,Longitude GDA 1994,Rock Type,References,,,,,,,,,,,,,,
ARC30,-1.7,2653,-32.7350,121.3332,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
ARC31,-1.3,2656,-32.6541,121.4218,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
ARC71,-3.1,2635,-31.6405,120.7581,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
ARC92A,2.8,2988,-33.5465,120.0542,igneous felsic volcanic,Mole et al. (2019),,,,,,,,,,,,,,
ARC95,5.3,2990,-33.6609,120.0057,igneous felsic volcanic,Mole et al. (2019),,,,,,,,,,,,,,
ARC98,0.3,2688,-33.4649,120.4975,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
LJD0017-222.0,2.6,2920,-32.2512,120.5146,igneous felsic volcanic,Mole et al. (2019),,,,,,,,,,,,,,
224357,2.1,2978,-33.5366,119.8961,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
155569,-1.0,2977,-26.9789,117.4744,meta-igneous felsic volcanic,GSWA batch 58,,,,,,,,,,,,,,
155822,-3.1,2749,-28.6074,116.8504,meta-igneous felsic intrusive,GSWA batch 67,,,,,,,,,,,,,,
168973,-2.4,2656,-29.5673,118.7143,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
169003,1.3,2813,-28.1560,118.4396,igneous felsic volcanic,GSWA batch 57,,,,,,,,,,,,,,
178101,-0.4,2660,-26.6478,118.4121,igneous granitic,GSWA batch 58,,,,,,,,,,,,,,
178102,2.7,2787,-26.7452,118.3039,igneous granitic,Ivanic et al. (2012) - GSWA batch 8,,,,,,,,,,,,,,
178103,-0.9,2655,-26.7347,118.2649,igneous granitic,Ivanic et al. (2012) - GSWA batch 19,,,,,,,,,,,,,,
178104,-0.6,2782,-26.7942,118.2926,igneous granitic,GSWA batch 32,,,,,,,,,,,,,,
